date,close,high,low,open,time,ema,day,position,ema_sma_50,or_date
2025-03-17,22500.5,22513.45,22490.9,22513.3,10:15:00,22496.074762135813,0,13,22443.807834880427,2025-03-17
2025-03-17,22502.7,22503.6,22486.9,22500.35,10:20:00,22496.7057371705,0,14,22444.617063158425,2025-03-17
2025-03-17,22490.15,22503.75,22478.8,22502.9,10:25:00,22496.081381249503,0,15,22445.449317314706,2025-03-17
2025-03-17,22471.1,22490.75,22471.05,22490.05,10:30:00,22493.702202082884,0,16,22446.253928218008,2025-03-17
2025-03-17,22460.9,22473.95,22459.85,22471.5,10:35:00,22490.578182836893,0,17,22447.002004749564,2025-03-17
2025-03-17,22472.45,22473.6,22455.4,22460.7,10:40:00,22488.85168923338,0,18,22447.72397875431,2025-03-17
2025-03-17,22481.25,22485.4,22472.9,22473.0,10:45:00,22488.1277188302,0,19,22448.43424094908,2025-03-17
2025-03-17,22478.75,22485.65,22474.7,22481.45,10:50:00,22487.23460275113,0,20,22449.114478172916,2025-03-17
2025-03-17,22496.9,22500.3,22478.05,22478.2,10:55:00,22488.15511677484,0,21,22449.82497851829,2025-03-17
2025-03-17,22494.8,22505.8,22494.8,22496.9,11:00:00,22488.78796279628,0,22,22450.593335973634,2025-03-17
2025-03-17,22492.05,22496.7,22480.8,22494.6,11:05:00,22489.09863300616,0,23,22451.40708795704,2025-03-17
2025-03-17,22477.55,22493.0,22475.75,22493.0,11:10:00,22487.998763196043,0,24,22452.2282921325,2025-03-17
2025-03-17,22480.85,22484.85,22470.85,22477.9,11:15:00,22487.317928605946,0,25,22453.04957210077,2025-03-17
2025-03-17,22489.2,22490.55,22474.15,22480.45,11:20:00,22487.49717350061,0,26,22453.92396826255,2025-03-17
2025-03-17,22497.85,22498.1,22485.1,22489.2,11:25:00,22488.48315697675,0,27,22454.8208981232,2025-03-17
2025-03-17,22499.0,22500.35,22493.75,22497.5,11:30:00,22489.4847610742,0,28,22455.737358473307,2025-03-17
2025-03-17,22522.55,22529.1,22497.95,22498.85,11:35:00,22492.633831448085,0,29,22456.71853688531,2025-03-17
2025-03-17,22517.7,22530.7,22515.25,22522.55,11:40:00,22495.021085595887,0,30,22457.759317353317,2025-03-17
2025-03-17,22510.95,22519.85,22510.35,22517.4,11:45:00,22496.538125062947,0,31,22458.824023491037,2025-03-17
2025-03-17,22494.95,22511.1,22494.4,22510.75,11:50:00,22496.38687505696,0,32,22459.90447190136,2025-03-17
2025-03-17,22505.75,22506.25,22483.3,22494.55,11:55:00,22497.278601242007,0,33,22461.01106808212,2025-03-17
2025-03-17,22507.5,22522.15,22504.8,22506.1,12:00:00,22498.25206779039,0,34,22462.154274150427,2025-03-17
2025-03-17,22512.5,22514.25,22507.15,22508.1,12:05:00,22499.60901371511,0,35,22463.34136535509,2025-03-17
2025-03-17,22510.1,22512.6,22503.95,22512.25,12:10:00,22500.60815526605,0,36,22464.59597168312,2025-03-17
2025-03-17,22492.6,22509.55,22488.15,22509.55,12:15:00,22499.845473812144,0,37,22465.88709169419,2025-03-17
2025-03-17,22480.95,22493.9,22480.6,22491.85,12:20:00,22498.045904877654,0,38,22467.196866942304,2025-03-17
2025-03-17,22482.4,22483.15,22454.8,22480.75,12:25:00,22496.55581869883,0,39,22468.542092166786,2025-03-17
2025-03-17,22453.8,22483.0,22453.45,22483.0,12:30:00,22492.48383596561,0,40,22469.857105465126,2025-03-17
2025-03-17,22455.9,22460.05,22442.0,22453.7,12:35:00,22488.999661111746,0,41,22471.141641306487,2025-03-17
2025-03-17,22466.9,22467.05,22451.55,22455.35,12:40:00,22486.894931482053,0,42,22472.45155468676,2025-03-17
2025-03-17,22451.8,22467.1,22448.85,22467.1,12:45:00,22483.55255705519,0,43,22473.76033345939,2025-03-17
2025-03-17,22456.35,22457.15,22445.2,22451.35,12:50:00,22480.96183733565,0,44,22475.076276158434,2025-03-17
2025-03-17,22458.25,22462.5,22455.0,22455.75,12:55:00,22478.798805208447,0,45,22476.39060526709,2025-03-17
2025-03-17,22464.85,22465.05,22449.55,22458.5,13:00:00,22477.470347569542,0,46,22477.707093508263,2025-03-17
2025-03-17,22451.05,22466.8,22445.45,22465.5,13:05:00,22474.95412399149,0,47,22478.996201916943,2025-03-17
2025-03-17,22467.6,22469.75,22450.85,22451.5,13:10:00,22474.2537312304,0,48,22480.275014286697,2025-03-17
2025-03-17,22474.7,22477.15,22466.45,22467.7,13:15:00,22474.296233017983,0,49,22481.56879690695,2025-03-17
2025-03-17,22484.0,22485.05,22469.9,22475.0,13:20:00,22475.220401301984,0,50,22482.931171658613,2025-03-17
