close,ema,high,low,open,position,day,dateni,time_slot,hi_lo_diff
19356.05,19350.30715316192,19359.55,19353.15,19355.4,52,0,2023-11-06,10,6.399999999997817
19362.45,19351.46361476554,19362.45,19355.05,19355.8,53,0,2023-11-06,10,7.400000000001455
19361.35,19352.405175264063,19362.5,19355.95,19361.9,54,0,2023-11-06,10,6.549999999999272
19362.95,19353.40944428653,19362.95,19357.3,19360.45,55,0,2023-11-06,10,5.650000000001455
19360.3,19354.065687687813,19364.9,19357.0,19362.25,56,0,2023-11-06,30,7.900000000001455
19358.65,19354.502288860403,19361.7,19355.3,19359.45,57,0,2023-11-06,30,6.400000000001455
19358.45,19354.87826134989,19361.25,19355.0,19357.9,58,0,2023-11-06,30,6.25
19361.5,19355.50890312609,19362.05,19352.85,19358.2,59,0,2023-11-06,30,9.200000000000728
19362.4,19356.165198066465,19364.3,19358.85,19359.7,60,0,2023-11-06,30,5.450000000000728
19374.0,19357.863750631564,19374.1,19358.9,19361.65,61,0,2023-11-06,30,15.19999999999709
19379.85,19359.957679142844,19380.45,19370.85,19373.7,62,0,2023-11-06,30,9.600000000002183
19379.95,19361.861709700668,19385.15,19374.35,19379.2,63,0,2023-11-06,40,10.80000000000291
19376.65,19363.270118300607,19380.85,19372.95,19379.55,64,0,2023-11-06,25,7.899999999997817
19386.15,19365.449154652928,19386.15,19374.4,19376.15,65,0,2023-11-06,25,11.75
19376.8,19366.530187543125,19385.5,19375.35,19385.5,66,0,2023-11-06,25,10.150000000001455
19380.1,19367.822550634257,19382.2,19374.75,19376.2,67,0,2023-11-06,25,7.450000000000728
19372.4,19368.2584981929,19380.45,19371.5,19379.2,68,0,2023-11-06,25,8.950000000000728
19382.95,19369.657688841195,19384.3,19369.6,19371.7,69,0,2023-11-06,25,14.700000000000728
19385.1,19371.12838514204,19385.1,19379.15,19382.5,70,0,2023-11-06,50,5.94999999999709
19407.85,19374.625681795173,19412.7,19385.6,19385.6,71,0,2023-11-06,25,27.100000000002183
19412.4,19378.22323590992,19413.65,19407.55,19407.8,72,0,2023-11-06,25,6.100000000002183
