date,horizontal_index,close_s,open_s,high_s,low_s,ema_s,ema_sma_50,day_high,day_low
2025-03-03,9,24880,24865,24890,24860,24955,22175,25075,24860
2025-03-03,10,24855,24885,24890,24840,24950,22170,25075,24840
2025-03-03,11,24830,24855,24860,24825,24940,22170,25075,24825
2025-03-03,12,24840,24835,24855,24830,24935,22165,25075,24825
2025-03-03,13,24880,24845,24885,24840,24930,22165,25075,24825
2025-03-03,14,24875,24885,24890,24860,24930,22160,25075,24825
2025-03-03,15,24935,24880,24940,24875,24935,22155,25075,24825
2025-03-03,16,24895,24935,24940,24885,24935,22155,25075,24825
2025-03-03,17,24915,24895,24920,24880,24935,22150,25075,24825
2025-03-03,18,24885,24920,24920,24875,24930,22150,25075,24825
2025-03-03,19,24920,24885,24925,24885,24935,22145,25075,24825
2025-03-03,20,24895,24920,24925,24895,24930,22145,25075,24825
2025-03-03,21,24890,24900,24900,24880,24930,22140,25075,24825
2025-03-03,22,24865,24895,24900,24860,24925,22140,25075,24825
2025-03-03,23,24880,24865,24885,24860,24925,22135,25075,24825
2025-03-03,24,24885,24880,24885,24855,24925,22135,25075,24825
2025-03-03,25,24865,24885,24890,24860,24920,22130,25075,24825
2025-03-03,26,24885,24870,24885,24860,24920,22130,25075,24825
2025-03-03,27,24890,24885,24895,24880,24920,22125,25075,24825
2025-03-03,28,24900,24895,24910,24885,24920,22125,25075,24825
2025-03-03,29,24885,24905,24905,24875,24920,22125,25075,24825
2025-03-03,30,24885,24885,24895,24880,24915,22120,25075,24825
2025-03-03,31,24900,24885,24910,24885,24920,22120,25075,24825
2025-03-03,32,24885,24905,24910,24885,24915,22115,25075,24825
2025-03-03,33,24885,24890,24900,24885,24915,22115,25075,24825
2025-03-03,34,24900,24890,24905,24880,24915,22110,25075,24825
2025-03-03,35,24915,24905,24925,24895,24920,22110,25075,24825
2025-03-03,36,24940,24915,24940,24905,24925,22110,25075,24825
2025-03-03,37,24950,24940,24960,24925,24930,22105,25075,24825
2025-03-03,38,24970,24950,24980,24945,24935,22105,25075,24825
2025-03-03,39,24965,24975,24980,24955,24940,22100,25075,24825
2025-03-03,40,25005,24970,25005,24965,24945,22100,25075,24825
2025-03-03,41,24995,25005,25015,24980,24955,22100,25075,24825
2025-03-03,42,25010,24995,25015,24990,24960,22095,25075,24825
2025-03-03,43,25065,25010,25065,25010,24970,22095,25075,24825
2025-03-03,44,25040,25065,25070,25020,24980,22095,25075,24825
2025-03-03,45,25025,25040,25045,25020,24985,22090,25075,24825
2025-03-03,46,25030,25025,25040,25015,24990,22090,25075,24825
2025-03-03,47,25060,25035,25060,25030,25000,22090,25075,24825
2025-03-03,48,25075,25060,25075,25055,25005,22090,25075,24825
2025-03-03,49,25070,25075,25100,25070,25015,22090,25100,24825
2025-03-03,50,25060,25070,25075,25045,25020,22085,25100,24825
2025-03-03,51,25035,25060,25065,25030,25020,22085,25100,24825
2025-03-03,52,25030,25040,25045,25010,25025,22085,25100,24825
2025-03-03,53,25040,25030,25045,25025,25025,22085,25100,24825
2025-03-03,54,25040,25040,25050,25030,25030,22085,25100,24825
2025-03-03,55,25055,25045,25060,25040,25030,22080,25100,24825
2025-03-03,56,25060,25055,25080,25055,25035,22080,25100,24825
2025-03-03,57,25020,25060,25065,25020,25035,22080,25100,24825
2025-03-03,58,25040,25025,25045,25015,25035,22080,25100,24825
2025-03-03,59,25005,25045,25045,24990,25035,22080,25100,24825
2025-03-03,60,25050,25005,25055,25005,25035,22080,25100,24825
2025-03-03,61,25030,25050,25055,25015,25035,22080,25100,24825
2025-03-03,62,25060,25030,25070,25030,25035,22080,25100,24825
2025-03-03,63,25075,25060,25085,25055,25040,22080,25100,24825
2025-03-03,64,25060,25075,25080,25055,25040,22080,25100,24825
2025-03-03,65,25055,25060,25070,25045,25045,22080,25100,24825
2025-03-03,66,25065,25055,25070,25055,25045,22080,25100,24825
2025-03-03,67,25040,25070,25075,25035,25045,22080,25100,24825
2025-03-03,68,25060,25040,25060,25040,25045,22080,25100,24825
2025-03-03,69,25055,25060,25060,25040,25045,22080,25100,24825
2025-03-03,70,25030,25050,25055,25020,25045,22080,25100,24825
2025-03-03,71,25035,25035,25045,25030,25040,22085,25100,24825
2025-03-03,72,25035,25040,25045,25030,25040,22085,25100,24825
2025-03-03,73,25040,25035,25040,25030,25040,22085,25100,24825
2025-03-03,74,25045,25040,25050,25030,25040,22085,25100,24825
2025-03-03,75,25065,25040,25065,25040,25040,22090,25100,24825
2025-03-04,0,25065,25040,25065,25040,25040,22090,25065,25040
2025-03-04,1,24885,24880,24915,24860,25010,22090,24915,24860
2025-03-04,2,24945,24880,24955,24880,25005,22090,24955,24860
2025-03-04,3,24900,24945,24945,24885,24990,22090,24955,24860
2025-03-04,4,24925,24895,24930,24890,24985,22090,24955,24860
2025-03-04,5,24950,24925,24955,24910,24980,22090,24955,24860
2025-03-04,6,24945,24950,24975,24940,24975,22090,24975,24860
2025-03-04,7,24960,24940,24960,24910,24975,22090,24975,24860
2025-03-04,8,24970,24960,24970,24950,24975,22090,24975,24860
2025-03-04,9,24960,24970,24975,24950,24975,22095,24975,24860
2025-03-04,10,24980,24960,24995,24955,24975,22095,24995,24860
2025-03-04,11,24940,24980,24985,24935,24970,22095,24995,24860
2025-03-04,12,24950,24935,24950,24930,24965,22095,24995,24860
2025-03-04,13,24970,24950,24970,24950,24965,22095,24995,24860
2025-03-04,14,24975,24965,24980,24965,24965,22095,24995,24860
2025-03-04,15,24960,24975,24975,24950,24965,22095,24995,24860
2025-03-04,16,24975,24960,24980,24945,24965,22095,24995,24860
2025-03-04,17,24960,24975,24980,24960,24965,22095,24995,24860
2025-03-04,18,24950,24960,24970,24945,24965,22095,24995,24860
2025-03-04,19,24970,24950,24980,24950,24965,22095,24995,24860
2025-03-04,20,24980,24970,24985,24965,24965,22095,24995,24860
2025-03-04,21,24985,24980,24995,24975,24970,22095,24995,24860
2025-03-04,22,25000,24985,25000,24975,24970,22095,25000,24860
2025-03-04,23,24990,25000,25010,24985,24975,22095,25010,24860
2025-03-04,24,24990,24990,24995,24980,24975,22095,25010,24860
2025-03-04,25,24975,24990,24990,24965,24975,22095,25010,24860
2025-03-04,26,24975,24975,24985,24970,24975,22090,25010,24860
2025-03-04,27,24975,24975,24985,24975,24980,22090,25010,24860
2025-03-04,28,24990,24975,24990,24975,24980,22090,25010,24860
2025-03-04,29,24985,24990,24995,24985,24980,22090,25010,24860
2025-03-04,30,24980,24985,24985,24975,24980,22090,25010,24860
2025-03-04,31,24960,24980,24980,24955,24980,22090,25010,24860
2025-03-04,32,24975,24965,24975,24960,24980,22090,25010,24860
2025-03-04,33,24985,24975,24985,24975,24980,22085,25010,24860
2025-03-04,34,24975,24985,24985,24965,24980,22085,25010,24860
2025-03-04,35,24970,24975,24975,24960,24980,22085,25010,24860
2025-03-04,36,24970,24970,24975,24965,24980,22085,25010,24860
2025-03-04,37,24980,24970,24980,24960,24980,22085,25010,24860
2025-03-04,38,24980,24980,24990,24975,24985,22085,25010,24860
2025-03-04,39,24985,24980,24995,24980,24985,22080,25010,24860
2025-03-04,40,24990,24985,24990,24980,24985,22080,25010,24860
2025-03-04,41,24990,24990,24995,24985,24985,22080,25010,24860
2025-03-04,42,24985,24990,24995,24985,24985,22080,25010,24860
2025-03-04,43,24980,24985,24995,24975,24990,22080,25010,24860
2025-03-04,44,24975,24980,24985,24975,24990,22075,25010,24860
2025-03-04,45,24975,24980,24985,24970,24990,22075,25010,24860
2025-03-04,46,24960,24980,24980,24960,24985,22075,25010,24860
2025-03-04,47,24975,24965,24980,24955,24985,22075,25010,24860
2025-03-04,48,24980,24980,24985,24975,24990,22070,25010,24860
2025-03-04,49,24995,24985,24995,24980,24990,22070,25010,24860
2025-03-04,50,24990,24995,25000,24985,24990,22070,25010,24860
2025-03-04,51,24980,24995,25000,24975,24990,22070,25010,24860
2025-03-04,52,24985,24980,24990,24975,24990,22070,25010,24860
2025-03-04,53,24975,24985,24990,24970,24990,22070,25010,24860
2025-03-04,54,24990,24975,24990,24970,24990,22065,25010,24860
2025-03-04,55,24985,24990,24990,24980,24990,22065,25010,24860
2025-03-04,56,25000,24985,25000,24980,24990,22065,25010,24860
2025-03-04,57,25005,25000,25010,24990,24990,22065,25010,24860
2025-03-04,58,25000,25005,25015,24995,24995,22065,25015,24860
2025-03-04,59,25025,25005,25025,25000,24995,22065,25025,24860
2025-03-04,60,25025,25025,25045,25020,25000,22065,25045,24860
2025-03-04,61,25030,25025,25030,25010,25000,22065,25045,24860
2025-03-04,62,25030,25030,25040,25020,25005,22065,25045,24860
2025-03-04,63,25020,25030,25030,25015,25005,22065,25045,24860
2025-03-04,64,25020,25020,25025,25015,25005,22065,25045,24860
2025-03-04,65,25030,25020,25035,25015,25010,22065,25045,24860
2025-03-04,66,25020,25030,25035,25020,25010,22065,25045,24860
2025-03-04,67,25015,25020,25025,25010,25010,22065,25045,24860
2025-03-04,68,25035,25015,25040,25015,25010,22065,25045,24860
2025-03-04,69,25035,25035,25040,25030,25015,22070,25045,24860
2025-03-04,70,25025,25035,25035,25015,25015,22070,25045,24860
2025-03-04,71,25025,25025,25025,25010,25015,22070,25045,24860
2025-03-04,72,25015,25025,25030,25005,25015,22070,25045,24860
2025-03-04,73,25020,25015,25020,25015,25015,22070,25045,24860
2025-03-04,74,25010,25020,25025,25010,25015,22070,25045,24860
2025-03-04,75,25015,25010,25015,24995,25015,22070,25045,24860
2025-03-05,0,25015,25010,25015,24995,25015,22070,25015,24995
2025-03-05,1,25075,25005,25090,25005,25020,22070,25090,25005
2025-03-05,2,25120,25075,25120,25060,25030,22070,25120,25005
2025-03-05,3,25140,25120,25145,25100,25040,22070,25145,25005
2025-03-05,4,25155,25140,25170,25130,25050,22070,25170,25005
2025-03-05,5,25155,25155,25165,25145,25055,22070,25170,25005
2025-03-05,6,25185,25150,25200,25150,25070,22075,25200,25005
2025-03-05,7,25205,25185,25215,25175,25080,22075,25215,25005
2025-03-05,8,25195,25205,25205,25185,25090,22075,25215,25005
2025-03-05,9,25200,25195,25210,25185,25100,22080,25215,25005
2025-03-05,10,25175,25195,25210,25175,25105,22080,25215,25005
2025-03-05,11,25190,25170,25190,25170,25110,22085,25215,25005
2025-03-05,12,25175,25190,25190,25160,25115,22085,25215,25005
2025-03-05,13,25150,25170,25175,25150,25115,22090,25215,25005
2025-03-05,14,25165,25145,25165,25135,25115,22090,25215,25005
2025-03-05,15,25180,25165,25180,25155,25120,22095,25215,25005
2025-03-05,16,25195,25175,25195,25170,25125,22095,25215,25005
2025-03-05,17,25195,25190,25205,25185,25130,22100,25215,25005
2025-03-05,18,25205,25190,25205,25190,25130,22100,25215,25005
2025-03-05,19,25190,25200,25205,25185,25135,22105,25215,25005
2025-03-05,20,25200,25185,25200,25180,25135,22110,25215,25005
2025-03-05,21,25195,25195,25200,25185,25140,22110,25215,25005
2025-03-05,22,25195,25190,25205,25190,25140,22115,25215,25005
2025-03-05,23,25175,25190,25190,25170,25140,22120,25215,25005
2025-03-05,24,25180,25170,25185,25170,25140,22120,25215,25005
2025-03-05,25,25185,25175,25190,25170,25140,22125,25215,25005
2025-03-05,26,25175,25180,25185,25175,25140,22130,25215,25005
2025-03-05,27,25175,25170,25175,25165,25140,22135,25215,25005
2025-03-05,28,25185,25175,25185,25170,25140,22140,25215,25005
2025-03-05,29,25210,25180,25210,25180,25140,22140,25215,25005
2025-03-05,30,25215,25205,25215,25195,25145,22145,25215,25005
2025-03-05,31,25230,25210,25230,25210,25150,22150,25230,25005
2025-03-05,32,25230,25225,25250,25225,25150,22155,25250,25005
2025-03-05,33,25225,25225,25230,25210,25155,22160,25250,25005
2025-03-05,34,25215,25215,25235,25215,25155,22165,25250,25005
2025-03-05,35,25210,25210,25215,25205,25155,22170,25250,25005
2025-03-05,36,25210,25205,25220,25200,25155,22175,25250,25005
2025-03-05,37,25200,25205,25215,25200,25155,22180,25250,25005
2025-03-05,38,25190,25195,25205,25185,25155,22185,25250,25005
2025-03-05,39,25200,25185,25205,25180,25150,22190,25250,25005
2025-03-05,40,25215,25195,25225,25195,25155,22195,25250,25005
2025-03-05,41,25215,25210,25215,25200,25155,22200,25250,25005
2025-03-05,42,25190,25205,25210,25185,25150,22205,25250,25005
2025-03-05,43,25180,25185,25185,25170,25150,22210,25250,25005
2025-03-05,44,25170,25175,25180,25165,25145,22215,25250,25005
2025-03-05,45,25150,25165,25170,25145,25140,22220,25250,25005
2025-03-05,46,25145,25145,25160,25140,25135,22225,25250,25005
2025-03-05,47,25125,25135,25145,25115,25130,22230,25250,25005
2025-03-05,48,25125,25120,25130,25110,25125,22235,25250,25005
2025-03-05,49,25125,25120,25130,25120,25120,22240,25250,25005
2025-03-05,50,25120,25115,25130,25110,25115,22245,25250,25005
2025-03-05,51,25115,25115,25125,25110,25110,22255,25250,25005
2025-03-05,52,25095,25110,25110,25080,25100,22260,25250,25005
2025-03-05,53,25075,25090,25095,25070,25095,22265,25250,25005
2025-03-05,54,25050,25065,25065,25040,25085,22265,25250,25005
2025-03-05,55,25050,25045,25060,25045,25075,22270,25250,25005
2025-03-05,56,25055,25045,25070,25045,25070,22275,25250,25005
2025-03-05,57,25055,25050,25065,25050,25065,22280,25250,25005
2025-03-05,58,25040,25050,25055,25035,25060,22285,25250,25005
2025-03-05,59,25040,25035,25045,25035,25055,22285,25250,25005
2025-03-05,60,25040,25035,25045,25030,25050,22290,25250,25005
2025-03-05,61,25005,25040,25040,25000,25040,22295,25250,25000
2025-03-05,62,25010,25000,25010,24995,25035,22295,25250,24995
2025-03-05,63,25030,25010,25030,25005,25035,22300,25250,24995
2025-03-05,64,25015,25025,25030,25010,25030,22300,25250,24995
2025-03-05,65,25040,25010,25040,25005,25025,22305,25250,24995
2025-03-05,66,25035,25035,25040,25030,25025,22305,25250,24995
2025-03-05,67,25025,25035,25045,25020,25025,22310,25250,24995
2025-03-05,68,25050,25025,25050,25020,25025,22310,25250,24995
2025-03-05,69,25035,25040,25040,25030,25020,22315,25250,24995
2025-03-05,70,25020,25030,25035,25015,25020,22315,25250,24995
2025-03-05,71,25020,25015,25025,25015,25020,22315,25250,24995
2025-03-05,72,25020,25015,25020,25005,25015,22320,25250,24995
2025-03-05,73,25015,25015,25025,25005,25015,22320,25250,24995
2025-03-05,74,25010,25010,25015,25010,25010,22320,25250,24995
2025-03-05,75,25025,25010,25030,25010,25010,22325,25250,24995
2025-03-06,0,25025,25010,25030,25010,25010,22325,25030,25010
2025-03-06,1,25120,25170,25180,25105,25035,22325,25180,25105
2025-03-06,2,25045,25120,25135,25035,25030,22330,25180,25035
2025-03-06,3,25035,25040,25060,25020,25030,22330,25180,25020
2025-03-06,4,24975,25035,25045,24965,25025,22330,25180,24965
2025-03-06,5,24975,24975,24995,24960,25015,22335,25180,24960
2025-03-06,6,24980,24975,25000,24965,25010,22335,25180,24960
2025-03-06,7,24910,24975,24995,24900,25000,22335,25180,24900
2025-03-06,8,24965,24905,24965,24900,24995,22335,25180,24900
2025-03-06,9,24975,24965,24990,24950,24995,22335,25180,24900
2025-03-06,10,24985,24975,24990,24965,24995,22335,25180,24900
2025-03-06,11,24995,24985,25030,24970,24995,22340,25180,24900
2025-03-06,12,24995,24995,25000,24975,24990,22340,25180,24900
2025-03-06,13,25025,24990,25030,24990,24995,22340,25180,24900
2025-03-06,14,24995,25025,25030,24985,24995,22340,25180,24900
2025-03-06,15,25025,24995,25025,24985,25000,22340,25180,24900
2025-03-06,16,25020,25025,25045,25000,25000,22340,25180,24900
2025-03-06,17,25030,25020,25035,25015,25000,22340,25180,24900
2025-03-06,18,25030,25030,25040,25020,25005,22340,25180,24900
2025-03-06,19,25025,25030,25035,25015,25005,22340,25180,24900
2025-03-06,20,25030,25025,25045,25020,25010,22340,25180,24900
2025-03-06,21,25030,25035,25040,25025,25010,22340,25180,24900
2025-03-06,22,25055,25030,25055,25020,25015,22340,25180,24900
2025-03-06,23,25085,25055,25130,25055,25020,22340,25180,24900
2025-03-06,24,25110,25085,25110,25085,25030,22340,25180,24900
2025-03-06,25,25095,25110,25110,25085,25035,22340,25180,24900
2025-03-06,26,25025,25095,25095,25025,25035,22340,25180,24900
2025-03-06,27,25000,25025,25045,24980,25030,22340,25180,24900
2025-03-06,28,25015,25000,25015,24975,25030,22340,25180,24900
2025-03-06,29,25030,25015,25035,25015,25030,22340,25180,24900
2025-03-06,30,25035,25030,25040,25015,25030,22340,25180,24900
2025-03-06,31,25055,25035,25060,25035,25030,22345,25180,24900
2025-03-06,32,25070,25050,25080,25050,25035,22345,25180,24900
2025-03-06,33,25060,25070,25075,25050,25035,22345,25180,24900
2025-03-06,34,25085,25060,25090,25060,25040,22345,25180,24900
2025-03-06,35,25065,25080,25090,25065,25040,22345,25180,24900
2025-03-06,36,25075,25065,25075,25055,25040,22345,25180,24900
2025-03-06,37,25075,25070,25085,25065,25045,22350,25180,24900
2025-03-06,38,25090,25075,25100,25070,25045,22350,25180,24900
2025-03-06,39,25085,25085,25095,25085,25050,22350,25180,24900
2025-03-06,40,25080,25085,25105,25075,25050,22350,25180,24900
2025-03-06,41,25100,25080,25100,25080,25055,22355,25180,24900
2025-03-06,42,25105,25100,25120,25095,25055,22355,25180,24900
2025-03-06,43,25105,25100,25105,25080,25060,22355,25180,24900
